,precision,recall,f1-score,support
B-LOC,0.8936170212765957,0.8625592417061612,0.8778135048231511,633.0
B-MISC,0.8888888888888888,0.7272727272727273,0.7999999999999999,22.0
B-ORG,0.8976109215017065,0.7827380952380952,0.8362480127186009,336.0
B-PER,0.7775061124694377,0.7832512315270936,0.7803680981595091,406.0
I-LOC,0.8840579710144928,0.8026315789473685,0.8413793103448277,152.0
I-MISC,0.8333333333333334,0.75,0.7894736842105262,20.0
I-ORG,0.8493150684931506,0.856353591160221,0.8528198074277854,362.0
I-PER,0.6470588235294118,0.6470588235294118,0.6470588235294118,17.0
micro avg,0.8566078116639915,0.8218685831622177,0.8388787005501703,1948.0
macro avg,0.8339235175633772,0.7764831611726348,0.8031451551517266,1948.0
weighted avg,0.858303600804002,0.8218685831622177,0.8390475502180432,1948.0
